	Edge	Cluster	Deviation	pval	zscore	fdr
r_CJUN_ERK12	r_CJUN_ERK12	7	0.20178955220606426	0.15684315684315683	1.1447479749668223	0.4799400599400599
r_RB_CDK4	r_RB_CDK4	4	-1.0059137932031363	0.16083916083916083	-1.3353655900711603	0.4855144855144855
r_CJUN_JNK	r_CJUN_JNK	1	0.30511921461840286	0.16183816183816183	1.2526936580142638	0.4855144855144855
r_RB_RPS6	r_RB_RPS6	9	0.44372360185228654	0.16583416583416583	1.3008768698703377	0.49267237616752174
r_CYCLINB1_MAPKAP2	r_CYCLINB1_MAPKAP2	8	-0.2100634769607744	0.17082917082917082	-1.1974180207720715	0.4942534101412607
r_RB_CDC2	r_RB_CDC2	8	0.5657664290231273	0.17082917082917082	1.4709368868834258	0.4942534101412607
r_ERK12_MAPKAP2	r_ERK12_MAPKAP2	2	0.22506546744610512	0.17182817182817184	1.2631319782429482	0.4942534101412607
r_H2A_FAK	r_H2A_FAK	2	-0.32165159470337157	0.17282717282717283	-1.501037447356806	0.4942534101412607
r_CJUN_ERK12	r_CJUN_ERK12	2	-0.15681157290084252	0.17682317682317683	-1.062814936781306	0.500999000999001
r_ERK12_MAPKAP2	r_ERK12_MAPKAP2	9	-0.3804158496290345	0.18281718281718282	-1.316148317274229	0.5113432022522931
r_JNK_BMPR	r_JNK_BMPR	2	-0.30405178053768916	0.1838161838161838	-1.1172118839199388	0.5113432022522931
r_ERK12_MKK36	r_ERK12_MKK36	2	-0.3613194375504465	0.18581418581418582	-0.9270571719819963	0.5122445122445123
r_STAT5_SRC	r_STAT5_SRC	4	0.20662372363314413	0.1888111888111888	1.2948644350144807	0.5158591408591409
r_CYCLINB1_MKK36	r_CYCLINB1_MKK36	2	0.2844167453796662	0.1938061938061938	1.53234830181872	0.5228981544771019
r_CJUN_JNK	r_CJUN_JNK	6	-0.24612706179820465	0.19480519480519481	-1.2726069876605435	0.5228981544771019
r_ERK12_MAPKAP2	r_ERK12_MAPKAP2	7	-0.24536746677242344	0.1978021978021978	-1.1231426978059138	0.5263258480649785
