"","sample_id","plate_number","treatment","cluster_round_2","cluster_round_5","cluster_round_6","cluster_round_7","cluster_round_8"
"477","plate_4_225","plate_4","EGF",7,8,8,8,4
"478","plate_7_225","plate_7","EGF",2,3,2,2,2
"479","plate_8_225","plate_8","iRSK_EGF",8,3,7,7,5
"480","plate_9_225","plate_9","EGF",8,3,7,7,5
"481","plate_10_215","plate_10","iRSK_EGF",8,3,7,7,5
"482","plate_12_215","plate_12","iRSK_EGF",3,7,3,4,4
"483","plate_13_215","plate_13","ip70S6K_EGF",6,1,6,1,1
"484","plate_4_215","plate_4","EGF",2,2,2,2,2
"485","plate_6_215","plate_6","iRSK_EGF",8,2,7,7,5
"486","plate_10_196","plate_10","EGF",6,1,6,1,1
"487","plate_11_196","plate_11","ip70S6K_EGF",6,1,6,1,1
"488","plate_12_196","plate_12","ip70S6K_EGF",6,1,6,1,1
"489","plate_2_196","plate_2","EGF",7,8,8,8,8
"490","plate_3_196","plate_3","iRSK_EGF",3,7,3,4,4
"491","plate_4_196","plate_4","ip70S6K_EGF",6,1,6,1,1
"492","plate_6_196","plate_6","iRSK_EGF",3,1,3,1,1
"493","plate_8_196","plate_8","EGF",6,1,6,1,1
"494","plate_9_196","plate_9","EGF",6,1,6,1,1
"495","plate_10_207","plate_10","iRSK_EGF",8,3,7,7,5
"496","plate_11_207","plate_11","EGF",2,2,2,2,2
"497","plate_13_207","plate_13","ip70S6K_EGF",4,6,4,3,3
"498","plate_3_207","plate_3","ip70S6K_EGF",1,2,2,3,3
"499","plate_4_207","plate_4","EGF",5,5,5,5,6
"500","plate_6_207","plate_6","ip70S6K_EGF",2,3,2,2,2
"501","plate_7_207","plate_7","ip70S6K_EGF",8,3,7,7,5
"502","plate_9_207","plate_9","ip70S6K_EGF",2,2,2,2,2
"503","plate_10_245","plate_10","EGF",7,8,8,8,8
"504","plate_11_245","plate_11","ip70S6K_EGF",9,9,9,9,9
"505","plate_12_245","plate_12","ip70S6K_EGF",3,7,3,6,6
"506","plate_2_245","plate_2","ip70S6K_EGF",2,3,2,2,5
"507","plate_3_245","plate_3","EGF",9,9,9,9,9
"508","plate_8_245","plate_8","iRSK_EGF",9,9,9,9,9
"509","plate_10_199","plate_10","EGF",2,3,2,2,2
"510","plate_2_199","plate_2","iRSK_EGF",2,1,2,2,2
"511","plate_4_199","plate_4","iRSK_EGF",1,4,1,3,3
"512","plate_6_199","plate_6","EGF",8,3,7,7,5
"513","plate_8_199","plate_8","ip70S6K_EGF",6,1,6,1,1
"514","plate_9_199","plate_9","iRSK_EGF",8,3,7,7,5
"515","plate_13_197","plate_13","iRSK_EGF",1,2,2,2,2
"516","plate_4_197","plate_4","ip70S6K_EGF",8,3,7,7,5
"517","plate_6_197","plate_6","iRSK_EGF",1,2,2,2,2
"518","plate_7_197","plate_7","iRSK_EGF",4,6,4,6,7
"519","plate_9_197","plate_9","EGF",1,2,2,2,2
"520","plate_10_229","plate_10","iRSK_EGF",8,3,7,7,5
"521","plate_2_229","plate_2","iRSK_EGF",1,4,1,3,3
"522","plate_3_229","plate_3","EGF",4,6,4,6,7
"523","plate_6_229","plate_6","iRSK_EGF",1,4,1,3,3
"524","plate_7_229","plate_7","ip70S6K_EGF",5,5,5,5,6
"525","plate_9_229","plate_9","EGF",4,6,4,6,7
"526","plate_3_233","plate_3","ip70S6K_EGF",1,2,2,2,2
"527","plate_4_233","plate_4","iRSK_EGF",8,2,7,7,5
"528","plate_9_233","plate_9","EGF",3,7,6,4,4
"529","plate_10_242","plate_10","ip70S6K_EGF",9,9,9,9,9
"530","plate_13_242","plate_13","EGF",5,5,5,5,6
"531","plate_2_242","plate_2","EGF",5,5,5,5,6
"532","plate_6_242","plate_6","EGF",7,4,8,8,4
"533","plate_10_234","plate_10","EGF",2,2,2,2,2
"534","plate_12_234","plate_12","ip70S6K_EGF",8,3,7,7,5
"535","plate_2_234","plate_2","EGF",1,4,1,3,3
"536","plate_3_234","plate_3","EGF",2,2,2,2,2
"537","plate_4_234","plate_4","EGF",5,5,5,5,6
"538","plate_6_234","plate_6","ip70S6K_EGF",3,1,3,1,1
"539","plate_10_193","plate_10","EGF",4,6,4,6,7
"540","plate_11_193","plate_11","ip70S6K_EGF",6,1,6,1,1
"541","plate_12_193","plate_12","ip70S6K_EGF",8,3,7,7,5
